Year,Tournament,Surface,Winner,Player_1,Player_2,Score,runner_up,era
2003,Australian Open,Hard,Agassi A.,Schuettler R.,Agassi A.,2-6 2-6 1-6,Schuettler R.,Other
2003,French Open,Clay,Ferrero J.C.,Verkerk M.,Ferrero J.C.,1-6 3-6 2-6,Verkerk M.,Other
2003,Wimbledon,Grass,Roger Federer,Philippoussis M.,Federer R.,6-7 2-6 6-7,Philippoussis M.,Big Three
2003,US Open,Hard,Roddick A.,Roddick A.,Ferrero J.C.,6-3 7-6 6-3,Ferrero J.C.,Other
2004,Australian Open,Hard,Roger Federer,Federer R.,Safin M.,7-6 6-4 6-2,Safin M.,Big Three
2004,French Open,Clay,Gaudio G.,Coria G.,Gaudio G.,6-0 6-3 4-6 1-6 6-8,Coria G.,Other
2004,Wimbledon,Grass,Roger Federer,Federer R.,Roddick A.,4-6 7-5 7-6 6-4,Roddick A.,Big Three
2004,US Open,Hard,Roger Federer,Federer R.,Hewitt L.,6-0 7-6 6-0,Hewitt L.,Big Three
2005,Australian Open,Hard,Safin M.,Safin M.,Hewitt L.,1-6 6-3 6-4 6-4,Hewitt L.,Other
2005,French Open,Clay,Rafael Nadal,Puerta M.,Nadal R.,7-6 3-6 1-6 5-7,Puerta M.,Big Three
2005,Wimbledon,Grass,Roger Federer,Roddick A.,Federer R.,2-6 6-7 4-6,Roddick A.,Big Three
2005,US Open,Hard,Roger Federer,Agassi A.,Federer R.,3-6 6-2 6-7 1-6,Agassi A.,Big Three
2006,Australian Open,Hard,Roger Federer,Baghdatis M.,Federer R.,7-5 5-7 0-6 2-6,Baghdatis M.,Big Three
2006,French Open,Clay,Rafael Nadal,Nadal R.,Federer R.,1-6 6-1 6-4 7-6,Roger Federer,Big Three
2006,Wimbledon,Grass,Roger Federer,Nadal R.,Federer R.,0-6 6-7 7-6 3-6,Rafael Nadal,Big Three
2006,US Open,Hard,Roger Federer,Roddick A.,Federer R.,2-6 6-4 5-7 1-6,Roddick A.,Big Three
2007,Australian Open,Hard,Roger Federer,Federer R.,Gonzalez F.,7-6 6-4 6-4,Gonzalez F.,Big Three
2007,French Open,Clay,Rafael Nadal,Federer R.,Nadal R.,3-6 6-4 3-6 4-6,Roger Federer,Big Three
2007,Wimbledon,Grass,Roger Federer,Federer R.,Nadal R.,7-6 4-6 7-6 2-6 6-2,Rafael Nadal,Big Three
2007,US Open,Hard,Roger Federer,Federer R.,Djokovic N.,7-6 7-6 6-4,Novak Djokovic,Big Three
2008,Australian Open,Hard,Novak Djokovic,Tsonga J.W.,Djokovic N.,6-4 4-6 3-6 6-7,Tsonga J.W.,Big Three
2008,French Open,Clay,Rafael Nadal,Federer R.,Nadal R.,1-6 3-6 0-6,Roger Federer,Big Three
2008,Wimbledon,Grass,Rafael Nadal,Nadal R.,Federer R.,6-4 6-4 6-7 6-7 9-7,Roger Federer,Big Three
2008,US Open,Hard,Roger Federer,Murray A.,Federer R.,2-6 6-7 2-6,Andy Murray,Big Three
2009,Australian Open,Hard,Rafael Nadal,Nadal R.,Federer R.,7-5 3-6 7-6 3-6 6-2,Roger Federer,Big Three
2009,French Open,Clay,Roger Federer,Soderling R.,Federer R.,1-6 6-7 4-6,Soderling R.,Big Three
2009,Wimbledon,Grass,Roger Federer,Federer R.,Roddick A.,5-6 7-6 7-6 3-6 16-14,Roddick A.,Big Three
2009,US Open,Hard,Del Potro J.M.,Del Potro J.M.,Federer R.,3-6 7-6 4-6 7-6 6-2,Roger Federer,Other
2010,Australian Open,Hard,Roger Federer,Murray A.,Federer R.,3-6 4-6 6-7,Andy Murray,Big Three
2010,French Open,Clay,Rafael Nadal,Nadal R.,Soderling R.,6-4 6-2 6-4,Soderling R.,Big Three
2010,Wimbledon,Grass,Rafael Nadal,Berdych T.,Nadal R.,3-6 5-7 4-6,Berdych T.,Big Three
2010,US Open,Hard,Rafael Nadal,Nadal R.,Djokovic N.,6-4 5-7 6-4 6-2,Novak Djokovic,Big Three
2011,Australian Open,Hard,Novak Djokovic,Djokovic N.,Murray A.,6-4 6-2 6-3,Andy Murray,Big Three
2011,French Open,Clay,Rafael Nadal,Nadal R.,Federer R.,7-5 7-6 5-7 6-1,Roger Federer,Big Three
2011,Wimbledon,Grass,Novak Djokovic,Djokovic N.,Nadal R.,6-4 6-1 1-6 6-3,Rafael Nadal,Big Three
